"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/04/2021","24,12","23,62","-1,34","23,42","24,29","1,17B"
"28/04/2021","23,40","23,94","3,64","23,36","24,09","1,57B"
"27/04/2021","23,82","23,10","-2,86","23,10","24,17","1,78B"
"26/04/2021","23,85","23,78","0,38","23,61","24,05","785,88M"
"23/04/2021","23,88","23,69","-0,08","23,51","23,94","1,42B"
"22/04/2021","24,14","23,71","-0,46","23,65","24,19","1,10B"
"20/04/2021","24,33","23,82","-1,89","23,76","24,59","2,16B"
"19/04/2021","22,95","24,28","5,80","22,77","24,89","4,70B"
"16/04/2021","23,13","22,95","-0,61","22,81","23,24","1,36B"
"15/04/2021","23,70","23,09","-1,99","23,02","23,83","1,49B"
"14/04/2021","23,41","23,56","1,93","23,20","23,78","2,13B"
"13/04/2021","23,20","23,11","0,00","22,92","23,28","329,73M"
"12/04/2021","23,18","23,11","1,01","23,01","23,58","1,10B"
"09/04/2021","22,74","22,88","-0,21","22,61","23,01","1,07B"
"08/04/2021","23,20","22,93","-1,25","22,61","23,26","1,44B"
"07/04/2021","23,16","23,22","-0,08","23,15","23,55","1,29B"
"06/04/2021","23,40","23,24","-0,08","23,13","23,58","1,06B"
"05/04/2021","23,35","23,26","0,63","22,91","23,41","929,56M"
"01/04/2021","23,50","23,11","-0,87","23,01","23,60","1,09B"
"31/03/2021","23,03","23,32","1,13","23,01","23,44","1,59B"
"30/03/2021","22,87","23,06","0,00","22,81","23,21","938,30M"
"29/03/2021","22,58","23,06","1,58","22,52","23,06","1,13B"
"26/03/2021","22,72","22,70","1,12","22,36","23,11","1,38B"
"25/03/2021","21,96","22,45","1,67","21,44","22,54","1,73B"
"24/03/2021","22,44","22,08","0,09","22,08","22,78","1,40B"
"23/03/2021","22,42","22,06","-3,06","22,06","22,86","1,27B"
"22/03/2021","22,92","22,76","-2,00","22,48","23,01","993,61M"
"19/03/2021","22,52","23,22","3,27","22,43","23,26","2,06B"
"18/03/2021","23,11","22,49","-3,49","22,32","23,12","1,75B"
"17/03/2021","22,39","23,30","3,44","22,36","23,35","1,79B"
"16/03/2021","22,86","22,52","-1,56","22,48","22,91","976,76M"
"15/03/2021","22,36","22,88","2,07","22,35","22,90","1,29B"
"12/03/2021","22,40","22,42","-0,52","22,12","22,62","1,52B"
"11/03/2021","21,89","22,53","4,25","21,88","22,73","2,92B"
"10/03/2021","21,23","21,62","3,47","20,88","21,62","2,38B"
"09/03/2021","20,67","20,89","2,32","20,18","21,24","2,55B"
"08/03/2021","21,23","20,42","-5,76","20,28","21,56","2,96B"
"05/03/2021","21,71","21,66","0,77","21,57","22,47","2,76B"
"04/03/2021","20,61","21,50","4,86","20,43","21,67","2,72B"
"03/03/2021","21,09","20,50","-3,64","19,82","21,18","3,79B"
"02/03/2021","21,13","21,28","-0,05","20,00","21,61","3,08B"
"01/03/2021","22,06","21,29","-1,08","21,21","22,29","1,96B"
"26/02/2021","22,45","21,52","-4,10","21,26","22,66","3,48B"
"25/02/2021","24,19","22,44","-4,96","22,35","24,43","3,98B"
"24/02/2021","23,75","23,61","1,41","23,23","24,19","3,67B"
"23/02/2021","22,30","23,28","12,17","21,97","23,47","6,67B"
"22/02/2021","22,06","20,75","-21,51","20,71","21,71","10,46B"
"19/02/2021","27,12","26,44","-6,63","26,29","27,57","5,79B"
"18/02/2021","29,39","28,32","-1,08","28,10","29,92","3,05B"
"17/02/2021","27,59","28,63","4,04","27,22","28,64","1,54B"
